search,name,stars,prize,weight,freshness,url,category
cream,SOL DE JANEIRO Brazilian Bum Bum Cream,4.7 out of 5 stars,$45.00 ,8.12 Fl Oz (Pack of 1),1,https://m.media-amazon.com/images/I/51jPL9mECyL.jpg,breakfast
curd cheese,Curd Cheese /Farmer Cheese/ Yogurt.bg – Tvorog Starter Culture for Home Made 10 Liters,4.0 out of 5 stars,$15.22 ,10 Count (Pack of 1),1,https://m.media-amazon.com/images/I/41FwTLb5BqL.jpg,breakfast
white bread,Schar Gluten-Free Artisan Baker White Bread 14.1 Ounce (6 Pack),4.7 out of 5 stars,$27.72 ,14.1 Ounce (Pack of 6),1,https://m.media-amazon.com/images/I/71+szeeeSsL._SL1000_.jpg,breakfast
butter,Red Feather Creamery Canned Butter A real butter from new Zealand-100% pure no artificial colors or flavors-Great For Hurricane Preparedness Emergency Survival Earthquake Kit-(24 Cans/Full Case),4.4 out of 5 stars,$99.99 ,8 Ounce (Pack of 20),1,https://m.media-amazon.com/images/I/61OiUgttRWL._SL1238_.jpg,breakfast
brown bread,"B & M Bread Brown Plain Pack of 2, Net WT 16 0z (1 LB) 453g",4.3 out of 5 stars,$17.99 ,1 Pound (Pack of 2),0,https://m.media-amazon.com/images/I/A180irm0dgL._SL1500_.jpg,breakfast
semi-finished bread,Dave’s Killer Bread Organic White Bread Done Right - 24 oz Loaf,4.6 out of 5 stars,$6.99 ,1.5 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/61iyxYCh5LL._SL1000_.jpg,breakfast
rolls/buns,Schar Gluten Free Hamburger Buns 10.6oz 3 Pack - 12 Rolls,4.3 out of 5 stars,$25.99 ,10.6 Ounce (Pack of 3),0,https://m.media-amazon.com/images/I/71ud0rM4YtL._SL1388_.jpg,breakfast
waffles,"Honey Stinger Organic Waffle, Honey, Sports Nutrition, 16.96 Ounce, Pack of 16",4.6 out of 5 stars,$27.35 ,1.06 Ounce (Pack of 16),0,https://m.media-amazon.com/images/I/61TvdNAwviL._SL1200_.jpg,breakfast
ham,Petite Country Ham 3-4 Pounds,3.8 out of 5 stars,$26.93 ,3 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/61FopQ8jqAL._SL1000_.jpg,breakfast
cereals,"Magic Spoon Cereal, Variety 8-Pack Single Serve Cups - Keto, Gluten & Grain Free, Low Carb, High Protein, Zero Sugar, Non-GMO Breakfast Cereal",4.2 out of 5 stars,$26.99 ,24 Count (Pack of 1),0,https://m.media-amazon.com/images/I/815n3l8sUqL._SL1500_.jpg,breakfast
margarine,Parkay Margarine Squeeze Bottle - 12 Ounce - Pack of 2,4.5 out of 5 stars,$14.99 ,12 Ounce (Pack of 2),0,https://m.media-amazon.com/images/I/61TqJbp9goL._SL1002_.jpg,breakfast
cream cheese,"Kraft Philadelphia Original Cream Cheese Spread - Cup, 3/4 Ounce -- 100 per case.",4.0 out of 5 stars,$74.99 ,0.75 Ounce (Pack of 100),0,https://m.media-amazon.com/images/I/41iuwQ6eosL.jpg,breakfast
rice,"Authentic Royal Ready To Heat Rice, Cilantro Lime, 4 Count",4.2 out of 5 stars,$9.73 ,4 Count (Pack of 1),0,https://m.media-amazon.com/images/I/81+5D9h5cZL._SL1500_.jpg,breakfast
yogurt,"GoGo squeeZ yogurtZ Variety Pack, Blueberry, Strawberry 3 oz (20 Pouches) - Kids Snacks Made from Real Yogurt & Fruit - Pantry Friendly - No Fridge Needed - No Preservatives - Kosher - Gluten Free",4.7 out of 5 stars,$26.47 ,3 Ounce (Pack of 20),0,https://m.media-amazon.com/images/I/81VmMBbk48L._SL1500_.jpg,breakfast
hard cheese,Wisconsin Cheese Blocks - 6 Pack Assorted (New Flavors),4.3 out of 5 stars,$99.98 ,7 Ounce (Pack of 6),0,https://m.media-amazon.com/images/I/71lfn-ab7IL._SL1200_.jpg,breakfast
processed cheese,Processed Cheese: A Novel,3.4 out of 5 stars,$16.30 ,8.81 Ounce (Pack of 1),0,"https://images-na.ssl-images-amazon.com/images/I/51XLbkPb8jL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",breakfast
specialty cheese,Farmers Market Wisconsin Specialty Cheese Blocks 7oz each (7 blocks),4.0 out of 5 stars,$89.99 ,7 Ounce (Pack of 7),0,https://m.media-amazon.com/images/I/71YUPJRuTaL._SL1500_.jpg,breakfast
spread cheese,"Kraft Cheese Spread, Old English 5 Oz (Pack of 4)",4.6 out of 5 stars,$29.99 ,5 Ounce (Pack of 4),0,https://m.media-amazon.com/images/I/718P3YtaVwS._SL1500_.jpg,breakfast
jam,"Smucker's Seedless Strawberry Jam, 12 Ounces",4.8 out of 5 stars,$39.95 ,12 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/81+V4eVcVFL._SL1500_.jpg,breakfast
sliced cheese,"Tillamook Medium, Sharp, Swiss & Colby Jack Sliced Cheese Sampler",3.9 out of 5 stars,$13.24 ,12 Ounce (Pack of 4),0,https://m.media-amazon.com/images/I/913Nkr0eZDL._SL1500_.jpg,breakfast
soft cheese,Glacier Ridge Farms Smoked Gouda Gourmet Spreadable Cheese 8oz (One Cup),4.4 out of 5 stars,$104.98 ,8 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/81Rm-av5R4L._SL1500_.jpg,breakfast
honey,"BEEKEEPER'S NATURALS Wildflower Honey - Raw, Wildcrafted, and Unprocessed- Rich in Nutrients and Beneficial Enzymes- Notes of Mint & Lavender-100% Raw, Pure Honey- Paleo-friendly, Gluten-Free (1.1lbs)",4.5 out of 5 stars,$15.99 ,Wildflower,0,https://m.media-amazon.com/images/I/71-pUNrWpgL._SL1500_.jpg,breakfast
ready soups,"Imagine Organic Creamy Soup, Potato Leek, 32 oz.",4.4 out of 5 stars,$37.63 ,32 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/71MqR5qvBpL._SL1500_.jpg,breakfast
zwieback,Der Markenzwieback Zwieback Toast 8oz Pack of 2,4.4 out of 5 stars,$26.65 ,8 Ounce (Pack of 2),1,https://m.media-amazon.com/images/I/81JGQlVgx1L._SL1500_.jpg,dailynecessities
chewing gum,Mueller Quench Double Raspberry - 10 stick Pack 24 count Trays,4.6 out of 5 stars,$33.88 ,15 Count (Pack of 10),1,https://m.media-amazon.com/images/I/71+Pg2KrrWL._AC_SL1076_.jpg,dailynecessities
abrasive cleaner,"Bar Keepers Friend Cleanser (26 oz) and Non Scratch Scouring Scrubber Kit | Multipurpose, Stainless Steel, Rust, Soft Cleaner with Heavy Duty Non Scratch DishCloth",4.6 out of 5 stars,$21.99 ,12 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/812n3sZo3YL._AC_SL1500_.jpg,dailynecessities
baby cosmetics,"Maybelline Baby Skin Instant Pore Eraser Primer, Clear, 0.67 Ounce",4.4 out of 5 stars,$32.00 ,0.67 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/5130fjSQx9L._SL1500_.jpg,dailynecessities
bags,"Tazo Variety Box For Bold, Refreshing or Spicy Teas Assorted Flavors Perfect for Gifting 3 oz 40 Tea Bags",4.7 out of 5 stars,$15.40 ,Green,0,https://m.media-amazon.com/images/I/81Kc6rn0IVL._SL1500_.jpg,dailynecessities
baking powder,"Clabber Girl, Baking Powder, 8.1 oz",4.8 out of 5 stars,$7.99 ,8.1 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/81wFgy9GwuL._SL1500_.jpg,dailynecessities
bathroom cleaner,"Electric Spin Scrubber Power Cleaning Brush Bathroom Floor Scrubber,Cordless Grout Power Shower Cleaner with 3 Replaceable Rotating Brush Heads for Tile, Floor, Bathtub,Kitchen, Pool",4.3 out of 5 stars,$38.99 ,128 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/618SVzt0iOL._AC_SL1500_.jpg,dailynecessities
cake bar,"ONE Protein Bars, Birthday Cake, Gluten Free Protein Bars with 20g Protein and Only 1g Sugar, Guilt-Free Snacking for High Protein Diets, 2.12 oz (12 Pack)",4.5 out of 5 stars,$26.96 ,12 Count (Pack of 1),0,https://m.media-amazon.com/images/I/71K+LOimBYS._AC_SL1500_.jpg,dailynecessities
candles,"HELLY Soy Candle Strong Scented Candles - Aromatherapy Candles Long Lasting Candles White Frosted Glass Jar Candle (Lemon, Lavender, Rose ？asmine？anilla？ergamot) -12 Pack",4.0 out of 5 stars,$25.99 ,7.2 Ounce (Pack of 2),0,https://m.media-amazon.com/images/I/71pPCX5UXWL._AC_SL1500_.jpg,dailynecessities
cleaner,"Mrs. Meyer's Clean Day Multi-Surface Cleaner Spray, Everyday Cleaning Solution for Countertops, Floors, Walls and More, Lemon Verbena, 16 fl oz - Pack of 3 Spray Bottles",4.8 out of 5 stars,$11.55 ,16 Fl Oz (Pack of 3),0,https://m.media-amazon.com/images/I/815O4ur7ZHL._AC_SL1500_.jpg,dailynecessities
cling film/bags,ECOOPTS Cling Wrap Plastic Food Wrap with Slide Cutter and BPA Free Plastic Wrap 12IN1000FT,4.2 out of 5 stars,$19.99 ,1 Count (Pack of 1),0,https://m.media-amazon.com/images/I/71mrs1y1lHL._AC_SL1500_.jpg,dailynecessities
decalcifier,"Durgol Universal, Multi-Purpose Descaler and Decalcifier for Household Items, 16.9 Fluid Ounces (Pack of 3)",4.9 out of 5 stars,$38.97 ,8.5 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/818M7waxa0L._AC_SL1500_.jpg,dailynecessities
dental care,"Waterpik WP-662 Water Flosser Electric Dental Countertop Professional Oral Irrigator For Teeth, Aquarius, Black",4.7 out of 5 stars,$67.00 ,1 Count (Pack of 1),0,https://m.media-amazon.com/images/I/71O1M6J7SQL._SL1500_.jpg,dailynecessities
detergent,"Pro-Enzyme Laundry Detergent Powder - Proprietary Active Enzymes for Home Washing Used by Professionals - Body Odor, Sweat, Stain Destroyer on Activewear, Clothing, Bedding, Non-irritating, 90 Loads",4.5 out of 5 stars,$24.95 ,Powder,0,https://m.media-amazon.com/images/I/71q3dGC1VaL._AC_SL1475_.jpg,dailynecessities
dish cleaner,"MR.SIGA Heavy Duty Cellulose Scrub Sponge, Dual-Sided Dishwashing Sponge for Kitchen, 12 Pack",4.7 out of 5 stars,$10.98 ,5 Piece Set,0,https://m.media-amazon.com/images/I/81gjzbD2UuL._AC_SL1500_.jpg,dailynecessities
dishes,"Sweese 123.002 Porcelain Mini Bowls - 4 Ounce for Dipping Sauces, Small Side Dishes - Set of 6, Hot Assorted Colors",4.8 out of 5 stars,$19.99 ,0,0,https://m.media-amazon.com/images/I/61+iisRpt4L._AC_SL1500_.jpg,dailynecessities
house keeping products,"Rubbermaid Commercial Products Executive Janitorial Housekeeping Quick Cart, Small, 1902467,Dark Gray",4.7 out of 5 stars,$342.11 ,1 Count (Pack of 1),0,https://m.media-amazon.com/images/I/51JwQ9hriZL.jpg,dailynecessities
hygiene articles,Men's Travel Toiletry Organizer Bag Water-resistant Shaving Dopp Kit Bathroom Bag (Black Water-resistant),4.7 out of 5 stars,$13.99 ,1 Count (Pack of 1),0,https://m.media-amazon.com/images/I/71cOYXTRTsL._AC_SL1500_.jpg,dailynecessities
kitchen towels,"LAZI Kitchen Dish Towels, 16 Inch x 25 Inch Bulk Cotton Kitchen Towels, 6 Pack Dish Cloths for Dish Rags for Drying Dishes Clothes and Dish Towels",4.8 out of 5 stars,$17.99 ,0,0,https://m.media-amazon.com/images/I/71-evDj6QTL._AC_SL1127_.jpg,dailynecessities
kitchen utensil,"Kitchen Utensils Sets 26 Pieces ? Stainless Steel And Nylon Cooking Tools Spoons, Turners, Tongs, Spatulas, Pizza Cutter, Whisk Measuring Cups & Spoons And More ? By Kitch N Wares",4.0 out of 5 stars,$19.99 ,0,0,https://m.media-amazon.com/images/I/71HHIafsRcL._AC_SL1000_.jpg,dailynecessities
light bulbs,"Energetic A19 LED Bulb 60W Equivalent, 5000K Daylight LED Light Bulbs, E26 Standard Base, 750LM, Non-Dimmable, UL Listed, 12 Pack",4.7 out of 5 stars,$14.99 ,24 Count (Pack of 1),0,https://m.media-amazon.com/images/I/6103c4tq6gL._AC_SL1500_.jpg,dailynecessities
long life bakery product,Cheffun Cooking Aprons for Kids - Toddler Apron Kids Chef Hat and Tools Real Cooking Baking Set for Kids for Ages 4 5 6 7 8-12 Years Old Kitchen Accessories Cookies Dress Up Pretend Role Play,4.5 out of 5 stars,$18.98 ,12 Count,0,https://m.media-amazon.com/images/I/71HzF7rq2IL._AC_SL1200_.jpg,dailynecessities
napkins,"Crystalware, 500 Pack White Beverage Paper Napkins, 1 Ply Cocktail Napkins, For Restaurant, Bar or Home use",4.1 out of 5 stars,$9.79 ,40 Count (Pack of 8),0,https://m.media-amazon.com/images/I/818NtZ5p4EL._AC_SL1500_.jpg,dailynecessities
newspapers,"Newspaper Wrapping Paper for Men's Birthday Gifts, 12 Printed Sheets (27 x 19 In)",4.6 out of 5 stars,$6.99 ,Medium (Pack of 1),0,https://m.media-amazon.com/images/I/71F85sGRFLS._AC_SL1500_.jpg,dailynecessities
organic products,"Garden of Life Raw Organic Meal Replacement Powder - Vanilla, 28 Servings, 20g Plant Based Protein Powder, Superfoods, Greens, Vitamins Minerals Probiotics & Enzymes All-in-One Meal Replacement Shake",4.4 out of 5 stars,$8.97 ,2.14 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/71agNcWAl2L._AC_SL1500_.jpg,dailynecessities
photo/film,"Video Tripod, COMAN KX3636 74 inch Complete Tripod Units, Professional Heavy Duty Aluminum Tripod with 360 Degree Fluid Head and Mid-Level Spreader 13.2LB Load for DSLR, Camcorder, Cameras and More",4.7 out of 5 stars,$142.98 ,0,0,https://m.media-amazon.com/images/I/71fWKTwSwpL._AC_SL1500_.jpg,dailynecessities
preservation products,Oribe Power Drops Color Preservation Booster with 2% Vitaminc C Complex 1 Ounce,4.3 out of 5 stars,$58.00 ,1 Ounce,0,https://m.media-amazon.com/images/I/71ZwI0g57aL._SL1500_.jpg,dailynecessities
prosecco,"Champagne Stopper by MiTBA Bottle Sealer for Champagne Cava Prosecco and Sparkling Wine with a Built In Pressure Pump. Let the Cork Fly and Keep Your Fizz_ Bubbles! Stainless Steel + ABS, B&S Color",4.3 out of 5 stars,$9.97 ,25.3 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/41OzsgWTBaS._AC_.jpg,dailynecessities
roll products,"Post Op Recovery Shoe - Adjustable Medical Walking Shoe for Post Surgery or Operation Support, Broken Foot or Toe, Stress Fractures, Bunions, or Hammer Toe for Left or Right Foot by Brace Direct",4.3 out of 5 stars,$22.99 ,2.18 Pound (Pack of 3),0,https://m.media-amazon.com/images/I/51V7NNoKrIL._AC_SL1200_.jpg,dailynecessities
rubbing alcohol,Renowned Trading | 100% Ethylene Glycol | Technical Grade | 1 Gallon Bottle | 128 Fluid Ounces (1),2.7 out of 5 stars,$37.98 ,128 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/71HsU74ZZOL._SL1500_.jpg,dailynecessities
seasonal products,"Carex Day-Light Classic Plus Bright Light Therapy Lamp - 10,000 LUX At 12 Inches - LED Sun Lamp Mood Light and Sunlight Lamp",4.5 out of 5 stars,$114.95 ,1 Count (Pack of 1),0,https://m.media-amazon.com/images/I/71I0lHgyg2L._AC_SL1500_.jpg,dailynecessities
shopping bags,"Black Paper Bags with Handles ? 16x6x12 inches 50 Pcs. Paper Shopping Bags, Bulk Gift Bags, Kraft, Party, Favor, Goody, Take-Out, Merchandise, Retail Bags, 80% PCW Vogue Size Large",4.4 out of 5 stars,$39.59 ,50 Count (Pack of 1),0,https://m.media-amazon.com/images/I/71Ws8DQh5MS._AC_SL1500_.jpg,dailynecessities
toilet cleaner,"AmazerBath Toilet Brush and Holder, Good Grip Toilet Bowl Cleaner Brush for Bathroom Storage Toilet Cleaner Brush with Long Handle for Deep Cleaning, Durable Bristles Toilet Bowl Brush, White",4.6 out of 5 stars,$14.99 ,2 Count (Pack of 1),0,https://m.media-amazon.com/images/I/51ZlqUxfrvL._AC_SL1500_.jpg,dailynecessities
liquor (appetizer),"Gmark 2-Ounce 2-Oz Heavy Base Shot Glass Set, Whiskey Shot Glass espresso liquor 12-Pack GM2026",4.8 out of 5 stars,$19.99 ,12 Count (Pack of 1),0,https://m.media-amazon.com/images/I/71o9Ns5UHZL._AC_SL1500_.jpg,dailynecessities
specialty bar,"Hunters Specialties Scent-A-Way Max Bar Soap, 3.5-Ounce",4.7 out of 5 stars,$28.98 ,3.9 Ounce (Pack of 6),0,https://m.media-amazon.com/images/I/81VrsM9anOL._AC_SL1500_.jpg,dailynecessities
domestic eggs,Ray-Ban Stories | Wayfarer Smart Glasses,3.8 out of 5 stars,$299.00 ,2 Count (Pack of 1),0,https://m.media-amazon.com/images/I/615fwrNlLyL._AC_UX679_.jpg,dailynecessities
pastry,"Danish Dough Whisk,13 Inch Stainless Dutch Bread Whisk, Kitchen Bread Mixer Whisk Scraper For Cooking Bread, Pastry, Dumpling And Pizza Dough Making",4.8 out of 5 stars,$9.85 ,26.4 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/61E--ve3T1L._AC_SL1500_.jpg,dailynecessities
fruit/vegetable juice,"Anzid Juicer Machines Vegetable and Fruit, Red Centrifugal juicers Best Sellers Easy to Clean with Brush, Juice Extractor Machine with Wide Mouth Feed Chute, Multi Speed Control (110V)",3.7 out of 5 stars,$49.98 ,120 Count (Pack of 2),0,https://m.media-amazon.com/images/I/61XwNnQsGUL._AC_SL1500_.jpg,dailynecessities
other vegetables,"Greenhouse Vegetable Gardening: Expert Advice on How to Grow Vegetables, Herbs, and Other Plants",4.5 out of 5 stars,$12.99 ,0,0,"https://images-na.ssl-images-amazon.com/images/I/61s-wLrVMiL._SX427_BO1,204,203,200_.jpg",dailynecessities
potato products,"Mandoline Slicer for Food and Vegetables -VEKAYA Adjustable Kitchen Vegetable Slicer For Potatoes and Onion| French Fry Slicer, Vegetable Chopper and Cutter with Waffle Maker and Gloves (Black)",4.3 out of 5 stars,$30.95 ,15 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/71D1-8AwE-L._AC_SL1500_.jpg,dailynecessities
female sanitary products,"Stayfree Maxi Pads for Women, Super - 66 Count",4.6 out of 5 stars,$6.83 ,66 Count (Pack of 1),0,https://m.media-amazon.com/images/I/81mus9cBkrL._AC_SL1500_.jpg,dailynecessities
brandy,Waterford Lismore Diamond Brandy Pair,4.6 out of 5 stars,$156.89 ,6 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/41mfgLiKbvL._AC_.jpg,dailynecessities
potted plants,"Hejdeco Artificial Fern Potted Plants 2 Pack, Fake Boston Fern, 19pcs Greenery Foliage, Up to 20-inch Wide, Perfect for Home Office Decor (Grey)",4.8 out of 5 stars,$22.90 ,0,0,https://m.media-amazon.com/images/I/81Rxw6bRbiS._AC_SL1500_.jpg,dailynecessities
softener,"Wool Dryer Balls Laundry Extra Large, Organic Wool Dryer Balls Handmade of 100% Newzealand Wool Natural Fabric Softener Reduce Drying Time & Wrinkles",4.8 out of 5 stars,$16.99 ,56 Fl Oz (Pack of 2),0,https://m.media-amazon.com/images/I/71OF+D2G2OL._AC_SL1500_.jpg,dailynecessities
sound storage medium,Sleepbox Sound White Noise Machine with 25 Soothing Sounds and 10 Colors Warm Night Light 4 Brightness Levels 32 Volume Levels 5 Timer and Memory Function for Baby Kids Adults Seniors Sleeping (White),4.1 out of 5 stars,$23.99 ,1 Count (Pack of 1),0,https://m.media-amazon.com/images/I/51FiisEcwaL._AC_SL1200_.jpg,dailynecessities
frozen dessert,"Yonanas Classic Original Healthy Dessert Fruit Soft Serve Maker, 200-Watt, Silver",4.3 out of 5 stars,$44.98 ,1 Ounce (Pack of 6),0,https://m.media-amazon.com/images/I/71lJpZA0XEL._AC_SL1500_.jpg,dailynecessities
pip fruit,"Ma.Lina.Ann Pop Bubbles Simple Multi-Item Fidget Toy, Silicone Funny Animal Sensory Squeeze Bubbles Toy Stress Relief Anti-Anxiety Autism ADHD Special Fidget Popper Gift for Kids and Adult (Apple)",4.7 out of 5 stars,$9.99 ,1.79 Fl Oz (Pack of 24),0,https://images-na.ssl-images-amazon.com/images/I/61wp8nOiIoL.__AC_SX300_SY300_QL70_FMwebp_.jpg,dailynecessities
soap,"WooRiae Pure Aged Natural Bar Soap 3 Packs - Green Tea, Rose, Houttuynia | Natural Soap Bar | Bath Soap Bars | Vegan Soap | All Natural Soap |",5.0 out of 5 stars,$19.99 ,3 Count (Pack of 1),0,https://m.media-amazon.com/images/I/71fTr4gQrGS._SL1500_.jpg,dailynecessities
bottled water,"GOSWAG 1 Gallon/128oz Water Bottle with Straw and Time Marker, Motivational BPA Free Leakproof Sports Water Jug for Fitness, Gym, Camping and Outdoor",4.7 out of 5 stars,$19.99 ,33.81 Fl Oz (Pack of 12),0,https://m.media-amazon.com/images/I/71mMAug45JS._AC_SL1500_.jpg,dailynecessities
flower (seeds),"Wildflower Seeds - Premium Birds & Butterflies Seed Collection [3 Oz] 130,000+ Flower Garden Seeds - Wild Flowers Bulk Seeds: 23 Varieties of 100% Non-GMO Annual Flower Seeds for Planting",4.0 out of 5 stars,$59.99 ,0,0,https://m.media-amazon.com/images/I/71guRMVuZhL._AC_SL1500_.jpg,dailynecessities
flower soil/fertilizer,"Luster Leaf 1880 Rapitest Tester Electronic 4-Way Analyzer, Soil",3.9 out of 5 stars,$25.79 ,0,0,https://m.media-amazon.com/images/I/81hf2p9gRmL._AC_SL1500_.jpg,dailynecessities
cookware,"Mueller Pots and Pans Set 17-Piece, Ultra-Clad Pro Stainless Steel Cookware Set, Ergonomic and EverCool Stainless Steel Handle, Includes Saucepans, Skillets, Dutch Oven, Stockpot, Steamer and More",4.5 out of 5 stars,$159.97 ,0,0,https://m.media-amazon.com/images/I/81Q9TtXW6yL._AC_SL1500_.jpg,dailynecessities
turkey,Thanksgiving Stickers for Kids 48PCS Make Your Own Turkey Sticker Sheets Make A Turkey Stickers Party Activities Art Craft School Reward,4.0 out of 5 stars,$8.99 ,25 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/815-9Wzqt7S._AC_SL1500_.jpg,dailynecessities
meat,"MeatStick MiniX Set | 260ft Wireless Meat Thermometer Real-time Monitoring for Oven, Stove Top, Deep Frying, Sous Vide, Rotisserie",4.2 out of 5 stars,$99.99 ,12 Ounce (Pack of 12),0,https://m.media-amazon.com/images/I/51-kQF4Bu-L._SL1200_.jpg,dailynecessities
dessert,"Cupcake Boxes 4 Pack Kraft 15 pcs - 6x6x3 Bakery Box with Inserts - 4 Count Cupcake Container - 4 Cupcake Boxes for Cookies, Dessert, Treat, Muffin Boxes - Sturdy Charcuterie Packaging 6 Inch",4.5 out of 5 stars,$12.99 ,Assorted,0,https://m.media-amazon.com/images/I/716Rh0qio1L._AC_SL1500_.jpg,dailynecessities
