search,name,stars,prize,weight,freshness,url,category
snack products,Highkey Keto Chocolate Chip Cookies - 3 Pack - Low Carb Snacks Keto Food Sugar Free High Protein Cookie with Zero Carbs for Healthy Snack Foods Diabetic Friendly Ketogenic Products,4.3 out of 5 stars,$12.97 ,2.25 Ounce (Pack of 3),1,https://m.media-amazon.com/images/I/81RSrBY-pxL._SL1500_.jpg,dessert
specialty chocolate,"Christmas Cocoa Gift Hot Chocolate Gourmet Gift Box Set or Sampler - Best Xmas Holiday Present For Friends, Entire Family, Corporate, Client, Coworkers Teachers (Cocoa)",4.3 out of 5 stars,$33.99 ,1 Ounce (Pack of 12),1,https://m.media-amazon.com/images/I/91zyhlKd1zL._SL1500_.jpg,dessert
cooking chocolate,"Callebaut Belgian Dark Couverture Chocolate Semisweet Callets, 54.5% - 5.5 Lbs",4.8 out of 5 stars,$41.45 ,5.5 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/61mHlMpztUL._SL1080_.jpg,dessert
artif. sweetener,"Lakanto Classic Monkfruit Sweetener - 1:1 White Sugar Substitute, Zero Calorie, Keto Diet Friendly, Zero Net Carbs, Zero Glycemic, Baking, Extract, Sugar Replacement (Classic White - 8.29 Oz)",4.7 out of 5 stars,$5.95 ,8.29 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/91vAcb3Ya6L._SL1500_.jpg,dessert
chocolate,"Ferrero Rocher Fine Hazelnut Milk Chocolate, 24 Count, Chocolate Candy Gift Box, 10.5 oz",4.8 out of 5 stars,$39.95 ,24 Count (Pack of 1),0,https://m.media-amazon.com/images/I/91qi6PV+XBL._SL1500_.jpg,dessert
chocolate marshmallow,"Sarah's Candy Factory Mini Dehydrated Chocolate Marshmallow Bits in Jar, 2.5 lb",4.4 out of 5 stars,$10.99 ,2 Pound,0,https://m.media-amazon.com/images/I/713ipK0eliL._SL1303_.jpg,dessert
pudding powder,Dr. Oetker Vanilla Pudding 1.5 oz (Pack of 6),4.8 out of 5 stars,$9.97 ,1.5 Ounce (Pack of 6),0,https://m.media-amazon.com/images/I/61R0pa-wIcL.jpg,dessert
specialty fat,"Thatcher's Gourmet Specialties Popcorn, Fat-Free Caramel Corn, 8-Ounce Bags (Pack of 12)",3.5 out of 5 stars,$38.30 ,2.63 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/41nvJVF6v6L.jpg,dessert
sugar,"Lakanto Golden Monkfruit Sweetener - 1:1 Raw Cane Sugar Substitute, Zero Calorie, Keto Diet Friendly, Zero Net Carbs, Zero Glycemic, Baking, Extract, Sugar Replacement (Golden - 8.29 ounces)",4.7 out of 5 stars,$5.97 ,8.29 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/81nCMeI15kS._SL1500_.jpg,dessert
tea,"Twinings of London Tea Classics Collection, Variety Gift Box Sampler, 48 Tea Bags (Pack of 1)",4.7 out of 5 stars,$21.99 ,24 Count (Pack of 1),1,https://m.media-amazon.com/images/I/81u82X9IjZL._SL1500_.jpg,drink
UHT-milk,Parmalat Shelf Stable UHT Whole Milk 1 Qt (Pack of 6),4.6 out of 5 stars,$30.56 ,32 Fl Oz (Pack of 6),0,https://m.media-amazon.com/images/I/71fQ9xphOdL._SL1500_.jpg,drink
whole milk,"Maple Hill Shelf Stable Whole White Milk 100% Grass Fed, Organic, Non-GMO: 16 pack 8 Fl Oz Aseptic Milk Boxes",4.5 out of 5 stars,$39.99 ,8 Fl Oz (Pack of 16),0,https://m.media-amazon.com/images/I/712KlAIkEBL._SL1500_.jpg,drink
soda,"18 Pack BGM Assortment of Soda, Coca-Cola, Pepsi, Dr Pepper, Mountain Dew, Sprite and Ginger Ale Refrigerator Restock Kit (Pack of 18)",4.2 out of 5 stars,$33.99 ,12 Fl Oz (Pack of 18),0,https://m.media-amazon.com/images/I/81GPKroTsNL._SL1500_.jpg,drink
packaged fruit/vegetables,"Dole Fruit Bowls Diced Peaches in 100% Juice, Gluten Free Healthy Snack, 4 Oz, 12 Total Cups",4.8 out of 5 stars,$26.47 ,4 Ounce (Pack of 12),0,https://m.media-amazon.com/images/I/81u6mQeOSmL._SL1500_.jpg,drink
coffee,"Cafe Gavina Espresso Roast Extra Fine Ground Coffee, 100% Arabica, (3 x 10-Ounce Cans)",4.6 out of 5 stars,$21.19 ,Ground,0,https://m.media-amazon.com/images/I/81Oaj1FFnCS._SL1500_.jpg,drink
instant coffee,"Rapidfire Ketogenic Fair Trade Instant Keto Coffee Mix Supports Energy Metabolism Weight Loss Ketogenic Diet Canister 15 servings, Original, 7.93 Ounce",4.2 out of 5 stars,$14.97 ,Original,0,https://m.media-amazon.com/images/I/71Sn-8N-cdL._AC_SL1500_.jpg,drink
Instant food products,"Rapidfire Ketogenic High Performance Instant Coffee Mix, Supports Energy and Metabolism, 15 Servings, brown, 7.93 ounce (pack of 1)",4.2 out of 5 stars,$14.97 ,7.93 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/71XZGPopMML._AC_SL1500_.jpg,drink
vinegar,"HMS Nutrition Apple Cider Vinegar Capsules - 100% Pure, Powerful 120 Capsules - 2 Month Supply, All Natural - 1200mg of ACV per Serving",4.3 out of 5 stars,$14.99 ,120 Count (Pack of 1),0,https://m.media-amazon.com/images/I/81mE4CwuoNL._AC_SL1500_.jpg,drink
condensed milk,Magnolia Sweetened Condensed Milk 14 oz - 6 Cans,4.8 out of 5 stars,$14.00 ,14 Ounce (Pack of 6),0,https://m.media-amazon.com/images/I/818ymaJuvzL._SL1500_.jpg,drink
salad dressing,"BRK LUX Salad Dressing Container for Oil, Vinegar, Lemon Juice, Ranch and Balsamic Sauce Mixing - LARGE italian sauce shaker bottle - 12oz - BPA Free (Green)",5.0 out of 5 stars,$8.90 ,24 Fl Oz (Pack of 2),0,https://m.media-amazon.com/images/I/61amzcYnhjL._SL1134_.jpg,drink
cocoa drinks,"Lakanto Sugar Free Drinking Chocolate - Sugar Free, Cold or Hot Cocoa Powder Mix with Shelf Stable Probiotics, Monkfruit Sweetener, Keto Diet Friendly, Vegan, Dutch Cocoa, Gourmet Taste (10 Oz)",4.1 out of 5 stars,$14.99 ,19.9Ounce,0,https://m.media-amazon.com/images/I/818MT2G9hAL._SL1500_.jpg,drink
beverages,"BODYARMOR Sports Drink Sports Beverage, Orange Mango, Natural Flavors With Vitamins, Potassium-Packed Electrolytes, No Preservatives, Perfect For Athletes, 16 Fl Oz (Pack of 12)",4.8 out of 5 stars,$16.94 ,16 Fl Oz (Pack of 12),0,https://m.media-amazon.com/images/I/71uRlW14F4L._SL1500_.jpg,drink
grapes,"TASAMI Organic Sea Grapes, Umibudo Green Caviar, Dehyrated Lato Seaweed , Superfood - Enhance Health, Boosting Immune System - 1 box (3.5 oz) includes 5 packs (0.7 oz) (1Box 100gr (3.5 oz))",4.7 out of 5 stars,$9.99 ,12 Fl Oz (Pack of 24),1,https://m.media-amazon.com/images/I/8124tVxzFzL._SL1500_.jpg,fruit
citrus fruit,"Nuun, Citrus Orange Immunity Box 8 Count, 1.9 Ounce",4.6 out of 5 stars,$44.50 ,10 Count (Pack of 8),0,https://m.media-amazon.com/images/I/71o6dyISEYL._AC_SL1500_.jpg,fruit
frozen fruits,"Trader Joe's Freeze Dried Blueberries and Freeze Dried Strawberries, 1 of Each, 2 Bags Total",3.8 out of 5 stars,$31.95 ,1.2 Ounce (Pack of 2),0,https://m.media-amazon.com/images/I/913So4blpuL._SL1500_.jpg,fruit
curd,"Tiptree Passion Fruit Curd, 11 Ounce Jar",4.5 out of 5 stars,$6.93 ,11 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/61yVsuF+JHL._SL1200_.jpg,fruit
misc. beverages,"Great Value Energy Drink Mix bundle: 2x Dragon Fruit, Grape; 2x Electrolyte Stawberry Kiwi",5.0 out of 5 stars,$94.38 ,9.6 Fl Oz (Pack of 2),0,https://m.media-amazon.com/images/I/818LV4v8x-L._SL1500_.jpg,fruit
berries,Organic Goji Berries | Large & Chewy | Every Batch Lab-Tested | 16oz Resealable Kraft Bag | 100% Raw From Ningxia | by FGO,4.5 out of 5 stars,$23.99 ,1 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/81OKJQ0nkwS._SL1500_.jpg,fruit
sweet spreads,"Mariani Mediterranean Dried Apricots -6oz (Pack of 4) ?Delicately Sweet with No Sugar Added, Gluten Free, Vegan, Fat Free, Non-GMO, Resealable Bag -Healthy Snack for Kids & Adults",4.6 out of 5 stars,$14.99 ,4 Ounce (Pack of 4),0,https://m.media-amazon.com/images/I/81Kc+mVjBtL._SL1500_.jpg,fruit
tidbits,"Del Monte Canned Gold Pineapple Tidbits In 100% Pineapple Juice, 20 Oz, Pack of 12",4.7 out of 5 stars,$9.24 ,20 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/71QatLGOQSL._SL1500_.jpg,fruit
baby food,"Happy Baby Organics Clearly Crafted Stage 2 Baby Food, Fruit Veggie Variety Pack, 4 Ounce Pouch (Pack of 10)",4.7 out of 5 stars,$25.88 ,4 Ounce (Pack of 10),0,https://m.media-amazon.com/images/I/91pN6z5C7yL._SL1500_.jpg,fruit
citrusfruit,Sweet Sunshine Citrus Fruit Basket Gift,4.0 out of 5 stars,$18.49 ,14 Piece Assortment,0,https://m.media-amazon.com/images/I/81bpCwtWG4S._SL1500_.jpg,fruit
sausage,"Old Wisconsin Premium Summer Sausage, 100% Natural Meat, Charcuterie, Ready to Eat, High Protein, Low Carb, Keto, Gluten Free, Beef Flavor, 16 Ounce",4.5 out of 5 stars,$34.95 ,1 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/71VgzduSqBL._SL1500_.jpg,meat
organic sausage,"365 by Whole Foods Market, Turkey Oven Roasted Sliced Organic, 6 Ounce",4.4 out of 5 stars,$13.29 ,6 Ounce,0,https://m.media-amazon.com/images/I/81Qi4N6N-BL._SL1500_.jpg,meat
frankfurter,"Olympia Provisions Frankfurter, Smoked Pork, 12 oz",4.5 out of 5 stars,$33.99 ,12 Ounce,0,https://m.media-amazon.com/images/I/91N9gsw-X1L._SL1500_.jpg,meat
frozen meals,"HMR Ultimate Entree Variety Pack, 14 Different Meals, 7-8oz. Servings, 14 Meals",4.1 out of 5 stars,$28.99 ,14 Piece Assortment,0,https://m.media-amazon.com/images/I/81FBF4l7oXL._SL1500_.jpg,meat
pork,Nutristore Freeze-Dried Pulled Pork | Premium Quality Pre-Cooked Meat | Survival Emergency Food Supply | Meat for Home Meals & Lightweight Camping | USDA Inspected | 25-Year Shelf Life (1-Pack),4.4 out of 5 stars,$59.99 ,5 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/71tGZztTAyL._SL1500_.jpg,meat
frozen chicken,"JOEDOT Southern Style Chicken Bites, Made with 100% whole solid white meat chicken, Frozen (3 lbs.)",5.0 out of 5 stars,$171.46 ,22 Piece Set,0,https://m.media-amazon.com/images/I/71zcbQ868AL._SL1500_.jpg,meat
hamburger meat,Yoders Canned Hamburger Meat 28oz,4.1 out of 5 stars,$18.56 ,1.75 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/91u6mZ2L20L._SL1500_.jpg,meat
canned fish,"StarKist Chunk Light Tuna in Water, 5 O, 48 Count",4.8 out of 5 stars,$31.68 ,5 Ounce (Pack of 48),0,https://m.media-amazon.com/images/I/6197678gGvL._SL1200_.jpg,meat
fish,"Matiz Seafood Variety Pack Sampler |10 pack|, 1 can each of Matiz Seafood Line",4.9 out of 5 stars,$6.67 ,10 Piece Set,0,https://m.media-amazon.com/images/I/71tucfInZvL._AC_SL1000_.jpg,meat
frozen fish,"Sea Best Flounder Fillets, 1 Pound (Pack of 12)",4.2 out of 5 stars,$149.99 ,1 Pound (Pack of 12),0,https://m.media-amazon.com/images/I/71zYVr7tiNL._SL1500_.jpg,meat
ice cream,"Astronaut Foods Freeze-Dried Ice Cream Sandwich, NASA Space Dessert, Variety Pack with Vanilla and Neapolitan, 6 Count",4.3 out of 5 stars,$22.99 ,1 Ounce (Pack of 6),0,https://m.media-amazon.com/images/I/51Rq7eCI7sL.jpg,meat
soups,"Campbell's Chunky Savory Chicken with White & Wild Rice Soup, 18.8 oz Can (Pack of 12)",4.6 out of 5 stars,$17.40 ,18.8 Ounce (Pack of 12),0,https://m.media-amazon.com/images/I/91ZNuIU4+OS._SL1500_.jpg,meat
beef,Sampco 3 LB. Shredded Beef (Pack of 8),5.0 out of 5 stars,$39.95 ,1 Ounce (Pack of 24),0,https://m.media-amazon.com/images/I/61-IFnBPvmS._SL1000_.jpg,meat
dog food,"BarxBuddy Anti Bark Dog Training Antibarking Device Ultrasonic to Stop Dog Barking with Dual LED Light and Strap, Safe for Pets Indoors and Outdoors",3.4 out of 5 stars,$28.95 ,1 Count (Pack of 1),1,https://m.media-amazon.com/images/I/71x9hM4eBYL._AC_SL1500_.jpg,pets
oil,"IGK EXPENSIVE Amla Oil Hi-Shine Topcoat, 4.2 fl. oz.",4.9 out of 5 stars,$29.00 ,4.2 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/71vXF3dywGL._SL1500_.jpg,pets
hair spray,J Beverly Volumizing Mousse and Style Spray,4.4 out of 5 stars,$22.00 ,8 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/71KU8Q95PKL._SL1500_.jpg,pets
herbs,Witchcraft Supplies Box for Wiccan Spells ? 36 Pack of Crystals Dried Herbs and Colored Magic Candles for Beginners Experienced Witches Pagan Spell-Versatile Tools Gifts Packaging Baby Toy Craft,4.7 out of 5 stars,$27.99 ,24 Piece Set,0,https://m.media-amazon.com/images/I/81TKhxl9vJS._AC_SL1500_.jpg,pets
make up remover,"Bliss Makeup Melt Jelly Cleanser | Suitable on Dry/Wet Skin | Super-Gentle with Soothing Rose Flower | Paraben Free, Cruelty Free | 6.4 fl oz",4.2 out of 5 stars,$9.97 ,6.4 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/61+MnBX3BuL._SL1500_.jpg,pets
male cosmetics,"Tiege Hanley Mens Skin Care System - Level 1 | Mens Routine Product Set: Face Wash, Morning Moisturizer, Exfoliating Face Scrub, Night Moisturizer | Cleanse, Tighten & Hydrate Your Best Looking Skin",4.2 out of 5 stars,$39.99 ,4 Piece Set,0,https://m.media-amazon.com/images/I/51IEkI2gVWL._SL1200_.jpg,pets
nut snack,"Sahale Snacks Sea Salt Bean + Nut Snack Mix, 1.25 Ounces (Pack of 18)",4.0 out of 5 stars,$23.22 ,1.25 Ounce (Pack of 18),0,https://m.media-amazon.com/images/I/71uN1EjJ66L._SL1500_.jpg,pets
pet care,"Pet MD - Dog Ear Cleaner Wipes - Otic Cleanser for Dogs to Stop Ear Itching, and Infections with Aloe and Eucalyptus - 100 Count",4.6 out of 5 stars,$6.99 ,100 Count (Pack of 1),0,https://m.media-amazon.com/images/I/71qThgP+X1L._AC_SL1500_.jpg,pets
skin care,Neclar - hyaluronic acid serum for skin care - vitamin c serum fo rthe face - Vitamin C face serum that contains hyloranic acid - facial skin care products,4.5 out of 5 stars,$28.00 ,8.8 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/61FnbcA-3dL._SL1500_.jpg,pets
specialty bar,"Hunters Specialties Scent-A-Way Max Bar Soap, 3.5-Ounce",4.7 out of 5 stars,$28.98 ,3.9 Ounce (Pack of 6),0,https://m.media-amazon.com/images/I/81VrsM9anOL._AC_SL1500_.jpg,pets
cat food,"Octhems Tilted Cat Food Bowls - Elevated Cat Bowls, Anti Vomiting Cat Bowl Set, Stainless Steel Cat Bowls, Cat Food Bowls Elevated, Raised Cat Bowls for Indoor Cats,Detachable cat bowl,Double cat bowl",5.0 out of 5 stars,$16.99 ,2 Count (Pack of 1),0,https://m.media-amazon.com/images/I/713y9JuQgCS._AC_SL1500_.jpg,pets
liver loaf,"CESAR CLASSICS Loaf in Sauce Gourmet Wet Dog Food, Pack of 24",4.7 out of 5 stars,$17.99 ,3.5 Ounce (Pack of 24),0,https://m.media-amazon.com/images/I/818MtIH68VL._AC_SL1500_.jpg,pets
meat spreads,"SKIPPY Peanut Butter Blended with Plant Protein, Creamy, 14 Ounce (Pack of 6)",4.6 out of 5 stars,$23.43 ,14 Ounce (Pack of 6),0,https://m.media-amazon.com/images/I/91xihFWbXDL._SL1500_.jpg,sauces
ketchup,Concession Essentials Ketchup- Heinz Single Serve Packages .32 Ounces (Pack of 200),4.7 out of 5 stars,$22.86 ,14 Ounce (Pack of 2),0,https://m.media-amazon.com/images/I/51owvrjlf3L._SL1193_.jpg,sauces
mayonnaise,"Best Foods Real Mayonnaise For a Creamy Condiment for Sandwiches and Simple Meals Real Mayo Gluten Free, Made With 100% Cage-Free Eggs 30 oz",4.8 out of 5 stars,$22.99 ,30 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/81-DQRXrADL._SL1500_.jpg,sauces
salt,"Himalayan Chef Himalayan Pink Salt Fine Grain, Plastic Jar-5 lbs",4.6 out of 5 stars,$12.59 ,5 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/718N1Qd+2NS._SL1500_.jpg,sauces
salty snack,"Souther Style Nuts, Cheesy Cheddar Hunter Mix, 20 oz (Pack of 1)",4.1 out of 5 stars,$12.13 ,1.25 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/91RJT5gyb7L._SL1500_.jpg,sauces
sauces,"Try Me Sauces Tiger Sauce, Original, 5 Fluid Ounce (Pack of 6)",4.8 out of 5 stars,$20.41 ,5 Ounce (Pack of 6),0,https://m.media-amazon.com/images/I/81mwZgV+CvL._SL1500_.jpg,sauces
mustard,"Maille Mustard Variety Pack 7 Oz, 4 Count",4.7 out of 5 stars,$13.78 ,4 Piece Assortment,0,https://m.media-amazon.com/images/I/81FMDTkq1NL._SL1500_.jpg,sauces
spices,"Kamenstein Revolving 20-Jar Countertop Rack Tower Organizer with Free Spice Refills for 5 Years, Silver",4.7 out of 5 stars,$48.99 ,24 Count (Pack of 1),0,https://m.media-amazon.com/images/I/71KCaiopGbL._AC_SL1500_.jpg,sauces
flour,Gold Medal All-Purpose Flour (12 lb.) (pack of 2),4.5 out of 5 stars,$21.52 ,12 Pound (Pack of 2),0,https://m.media-amazon.com/images/I/716VzduMOrL._SL1500_.jpg,sauces
onions,Yellow Onions (10 lbs.),4.1 out of 5 stars,$16.64 ,10 Pound (Pack of 1),1,https://m.media-amazon.com/images/I/71S0W9uaXjL._SL1500_.jpg,vegetable
pickled vegetables," Mezzetta Italian Mix, Giardiniera, 16-Ounce (Pack of 3)",4.7 out of 5 stars,$18.07 ,16 Ounce ,1,https://m.media-amazon.com/images/I/61YsCYQTZ4L._SL1000_.jpg,vegetable
canned vegetables,"La Coste?a Sliced Pickled Carrots, 14.1 Ounce Can (Pack of 12)",4.6 out of 5 stars,$17.55 ,14.1 Ounce (Pack of 12),1,https://m.media-amazon.com/images/I/71bPBvRHeCL._SL1500_.jpg,vegetable
root vegetables,"Root Foods Vegetable Chips Variety Veggie Snack Pack Tomato, Bell Pepper, Taro, Onion, SixMix, Non-GMO Chip with Sea Salt, Vegan, Gluten Free, Halal, Kosher, up to 2.75oz Bags depending on veggie, 5 Pack",4.2 out of 5 stars,$22.50 ,Variety,1,https://m.media-amazon.com/images/I/71VtHv4XgQL._SL1500_.jpg,vegetable
frozen potato products,"WonderSlim Instant Mashed Potatoes, Garlic - Low Fat, 11g Protein, 3g Fiber (7ct)",3.9 out of 5 stars,$19.99 ,7.6 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/61kw3Ocf65S._SL1200_.jpg,vegetable
red/blush wine,"Le Chateau Wine Decanter - Hand Blown Lead Free Crystal Carafe (750ml) - Red Wine Aerator, Gifts",4.8 out of 5 stars,$49.95 ,4 Count (Pack of 1),1,https://m.media-amazon.com/images/I/71z0P52syqL._AC_SL1500_.jpg,wine
white wine,"Vinglac? Wine Bottle Insulator | Stainless Steel | Double Walled | Vacuum Insulated | Tritan Plastic Adjustable Top | Keeps Wine & Champagne Cold for Hours | 10"" x 11"" x 12"" | White",4.8 out of 5 stars,$89.95 ,25.36 Fl Oz (Pack of 1),1,https://m.media-amazon.com/images/I/71z-ot8bnvL._AC_SL1500_.jpg,wine
whisky,"Whiskey Stones Gift Set For Men In Whiskey Half Barrel Gift Box | 8 Whiskey Rocks, 2 Whiskey Glasses in a Whiskey Box Gift Set | Granite Bourbon Stones | Whiskey Kit For Men: Dad, Husband, Boyfriend",4.7 out of 5 stars,$59.95 ,6 Count (Pack of 1),0,https://m.media-amazon.com/images/I/91+NMFFApeL._AC_SL1500_.jpg,wine
sparkling wine,"Martinelli's Gold Medal Sparkling Apple Cider, 8.4 oz Pack of 12 Bottles",4.4 out of 5 stars,$32.97 ,8.4 Fl Oz (Pack of 12),0,https://m.media-amazon.com/images/I/41lEop2xZbL.jpg,wine
bottled beer,"A&W Zero Root Beer, 20 Fl Oz Bottles, (Pack of 16, Total of 320 Fl Oz)",4.6 out of 5 stars,$20.99 ,20 Fl Oz (Pack of 16),0,https://m.media-amazon.com/images/I/41MdXtKCUhL.jpg,wine
brandy,Waterford Lismore Diamond Brandy Pair,4.6 out of 5 stars,$156.89 ,6 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/41mfgLiKbvL._AC_.jpg,wine
canned beer,A&W Root Beer - 12/12 oz. cans,5.0 out of 5 stars,$124.52 ,12.02 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/81nXzWEV0CL._SL1500_.jpg,wine
liquor,Steklyannoe Barrel with Ship Whiskey Decanter Set With Four Glasses and Whiskey Stones,4.4 out of 5 stars,$109.95 ,2.2 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/71jOFr956wL._AC_SL1500_.jpg,wine
finished products,"Windshield Washer Fluid - Ultra Concentrate, 1 Quart Makes 55 gallons Finished Product (2)",5.0 out of 5 stars,$33.99 ,0.38 Ounce (Pack of 1),1,https://m.media-amazon.com/images/I/41HOzSMjZ1L._AC_.jpg,dailynecessities
candy,"Sour Patch Kids Zombie Swedish Fish & Bubblicious Gum Halloween Candy Mix, Strawberry, 75 Count",4.9 out of 5 stars,$21.15 ,1 Pound (Pack of 1),1,https://m.media-amazon.com/images/I/913dJIoY8MS._SL1500_.jpg,dessert
butter milk,"Hoosier Hill Farm Buttermilk Powder, 1 Pound",4.6 out of 5 stars,$20.85 ,1 Pound (Pack of 1),1,https://m.media-amazon.com/images/I/71UrqmwXL5L._SL1500_.jpg,drink
canned fruit,"Dole Canned Tropical Fruit in Light Syrup & Passionfruit Juice, Pineapple & Papaya, 15.25 Oz, 12 Count",4.7 out of 5 stars,$29.90 ,15.25 Ounce (Pack of 12),1,https://m.media-amazon.com/images/I/51Lyo7q6zIS.jpg,fruit
chicken,StarKist Premium White Chicken - 2.6 oz Pouch (Pack of 12),4.7 out of 5 stars,$71.00 ,2.6 Ounce (Pack of 12),1,https://m.media-amazon.com/images/I/9143HeN-WJL._SL1500_.jpg,meat
cream,SOL DE JANEIRO Brazilian Bum Bum Cream,4.7 out of 5 stars,$45.00 ,8.12 Fl Oz (Pack of 1),1,https://m.media-amazon.com/images/I/61ino6WZGsL._SL1500_.jpg,pets
syrup,"Coombs Family Farms Organic Maple Syrup, Grade A Amber Color, Rich Taste, 16 Fl Oz",4.6 out of 5 stars,$11.21 ,16 Fl Oz (Pack of 1),1,https://m.media-amazon.com/images/I/81gwUQfR5yL._SL1500_.jpg,sauces
frozen vegetables,"Goya Foods Mixed Vegetables, 14.9 Ounce (Pack of 24)",3.6 out of 5 stars,$7.59 ,15 Ounce (Pack of 24),1,https://m.media-amazon.com/images/I/91vnaAXRqgS._SL1500_.jpg,vegetable
liqueur,Bartesian Premium Cocktail and Margarita Machine for the Home Bar with Push-Button Simplicity and an Easy to Clean Design (55300),4.7 out of 5 stars,$349.85 ,2.2 Pound (Pack of 1),1,https://m.media-amazon.com/images/I/81EYbpvXJYL._AC_SL1500_.jpg,wine